cognition,paired T-test,T,dof,tail,p-val,CI95%,cohen-d,BF10,power
MMSE,Dual-Task-Single-Task,3.000442616268751,18,greater,0.0038390091607472102,[0.02 inf],0.6487481536989729,12.97,0.8586387571743941
DST,Dual-Task-Single-Task,1.8677497986617209,18,greater,0.039083284832010796,[0.0 inf],0.6831466058243602,2.007,0.888416117617285
IQCODE,Dual-Task-Single-Task,2.7335934012124965,18,greater,0.006820622335444705,[0.03 inf],0.7431147837443212,8.046,0.9290832526522567
