,lhipa_z_eye_mean,blink_ratio
baseline-low,"{'T': 3.5226994146430832, 'dof': 79, 'tail': 'greater', 'p-val': 0.0003566408745425629, 'CI95%': array([0.12, inf]), 'cohen-d': 0.6624242361389288, 'BF10': '65.71', 'power': 0.9999999984375862}","{'T': 4.481086797162994, 'dof': 59, 'tail': 'greater', 'p-val': 1.7359174748911262e-05, 'CI95%': array([5.93, inf]), 'cohen-d': 0.6124775962409884, 'BF10': '1153.864', 'power': 0.9988330769446074}"
baseline-high,"{'T': 4.7288466846803265, 'dof': 79, 'tail': 'greater', 'p-val': 4.851205080553035e-06, 'CI95%': array([0.19, inf]), 'cohen-d': 0.8902501740444339, 'BF10': '3475.294', 'power': 0.9999999999999991}","{'T': 5.625501329443667, 'dof': 53, 'tail': 'greater', 'p-val': 3.545661568627937e-07, 'CI95%': array([10.33, inf]), 'cohen-d': 0.9126281773474216, 'BF10': '4.452e+04', 'power': 0.9999999999900272}"
low-high,"{'T': 0.4001173182689271, 'dof': 80, 'tail': 'greater', 'p-val': 0.3450682581618474, 'CI95%': array([-0.07, inf]), 'cohen-d': 0.06671275369782724, 'BF10': '0.265', 'power': 0.14697278095248167}","{'T': 1.2898551258177673, 'dof': 60, 'tail': 'greater', 'p-val': 0.10102525624338941, 'CI95%': array([-0.61, inf]), 'cohen-d': 0.1530252207074272, 'BF10': '0.616', 'power': 0.3216238209843606}"
