,aov-Source,aov-SS,aov-DF,aov-MS,aov-F,aov-p-unc,aov-p-GG-corr,aov-n2,aov-eps,aov-sphericity,aov-W-spher,aov-p-spher,aov-es-magnitude,hoc-Contrast,hoc-A,hoc-B,hoc-mean(A),hoc-std(A),hoc-mean(B),hoc-std(B),hoc-Paired,hoc-Parametric,hoc-T,hoc-dof,hoc-alternative,hoc-p-unc,hoc-p-corr,hoc-p-adjust,hoc-BF10,hoc-eta-square
DDK Rate,task,60.54213929608515,2.0,30.271069648042577,84.32391527312362,1.2112145693820704e-26,9.484005334595557e-18,0.1765422430878092,0.6302113353464046,False,0.413230699110914,5.353847664045982e-18,large,task,High Difficulty,Low Difficulty,3.303460713358867,1.0247806861777642,3.4435553358941546,1.052540019815722,True,True,-3.2782968861480284,91.0,two-sided,0.0014799777666354385,0.0014799777666354385,fdr_bh,16.102,0.004526764208625298
,Error,65.33537559420853,182.0,0.35898558018795895,,,,,,,,,,task,High Difficulty,Single-Task,3.303460713358867,1.0247806861777642,4.3596014379354635,0.9722031523185366,True,True,-10.150916773794858,91.0,two-sided,1.2355284386267965e-16,3.7065853158803894e-16,fdr_bh,4.938e+13,0.2184493131966657
,,,,,,,,,,,,,,task,Low Difficulty,Single-Task,3.4435553358941546,1.052540019815722,4.3596014379354635,0.9722031523185366,True,True,-8.830705255513104,91.0,two-sided,7.138004494554096e-14,1.0707006741831144e-13,fdr_bh,1.025e+11,0.16968857861144282
DDK Regularity,task,4935.256014828619,2.0,2467.6280074143096,23.411606442886495,1.0743807736925838e-09,4.611722287636286e-08,0.06721952719844845,0.7808468880895253,False,0.719339200484398,1.1554461425926423e-06,moderate,task,High Difficulty,Low Difficulty,53.30446048791231,17.451420024416326,49.058731860902505,15.733718585053873,True,True,3.796352786156718,84.0,two-sided,0.00027647297993487944,0.00027647297993487944,fdr_bh,76.338,0.016062847559188152
,Error,17707.52068026355,168.0,105.40190881109257,,,,,,,,,,task,High Difficulty,Single-Task,53.30446048791231,17.451420024416326,42.60412017489564,16.223202943302404,True,True,5.72257843990319,84.0,two-sided,1.5764659368023465e-07,4.7293978104070395e-07,fdr_bh,8.307e+04,0.09159884981143196
,,,,,,,,,,,,,,task,Low Difficulty,Single-Task,49.058731860902505,15.733718585053873,42.60412017489564,16.223202943302404,True,True,3.9332109315215638,84.0,two-sided,0.00017184374264864478,0.0002577656139729672,fdr_bh,118.163,0.039187463202733155
DDK Duration,task,24944.300763312152,2.0,12472.150381656076,26.40764136269094,9.053870624811522e-11,7.718901757518672e-08,0.05822961960029385,0.6548491351516111,False,0.4729307159144648,4.91010688326598e-15,small,task,High Difficulty,Low Difficulty,157.83560636204766,42.036326176539056,153.40548986407077,40.14367117963066,True,True,2.540816572573849,89.0,two-sided,0.012792074919301543,0.012792074919301543,fdr_bh,2.404,0.002896064205920808
,Error,84068.195922688,178.0,472.2932355207191,,,,,,,,,,task,High Difficulty,Single-Task,157.83560636204766,42.036326176539056,135.59509189064153,33.97643778036639,True,True,5.633501170311548,89.0,two-sided,2.0404674574082857e-07,6.121402372224858e-07,fdr_bh,6.408e+04,0.0780492562449227
,,,,,,,,,,,,,,task,Low Difficulty,Single-Task,153.40548986407077,40.14367117963066,135.59509189064153,33.97643778036639,True,True,4.966490439028479,89.0,two-sided,3.2679535464465593e-06,4.90193031966984e-06,fdr_bh,4656.62,0.054232919387268465
