,aov-Source,aov-SS,aov-DF,aov-MS,aov-F,aov-p-unc,aov-p-GG-corr,aov-n2,aov-eps,aov-sphericity,aov-W-spher,aov-p-spher,aov-es-magnitude,hoc-Contrast,hoc-A,hoc-B,hoc-mean(A),hoc-std(A),hoc-mean(B),hoc-std(B),hoc-Paired,hoc-Parametric,hoc-T,hoc-dof,hoc-alternative,hoc-p-unc,hoc-p-corr,hoc-p-adjust,hoc-BF10,hoc-eta-square
DDK Rate,task,68.53160045670154,2.0,34.26580022835077,108.69861412193463,5.195603396259749e-36,7.181558957018973e-25,0.13246609848922092,0.6650837059016547,False,0.49642986119425353,8.906304727443799e-23,moderate,task,High Difficulty,Low Difficulty,3.614748908495186,1.0452817500219191,3.719732694459909,1.064985487598703,True,True,-2.955732761508389,146.0,two-sided,0.003638239523508475,0.003638239523508475,fdr_bh,5.914,0.0024686427404636115
,Error,92.04913740164568,292.0,0.3152367719234441,,,,,,,,,,task,High Difficulty,Single-Task,3.614748908495186,1.0452817500219191,4.4985264617592176,0.9204913212883752,True,True,-11.339723419735261,146.0,two-sided,9.002022515737086e-22,2.700606754721126e-21,fdr_bh,4.973e+18,0.16757769971973957
,,,,,,,,,,,,,,task,Low Difficulty,Single-Task,3.719732694459909,1.064985487598703,4.4985264617592176,0.9204913212883752,True,True,-10.47164874127806,146.0,two-sided,1.7296196157413406e-19,2.5944294236120113e-19,fdr_bh,2.874e+16,0.13273170979809742
DDK Regularity,task,9187.447683336715,2.0,4593.723841668358,34.99678440985372,3.215432243952234e-14,2.295711577931398e-11,0.06479187655489557,0.7582429361666935,False,0.6811614690991876,9.874266619223575e-12,moderate,task,High Difficulty,Low Difficulty,54.43270054924413,19.72596520940683,50.95475880694615,17.69641407701032,True,True,3.717752082688738,133.0,two-sided,0.00029518055806698144,0.00029518055806698144,fdr_bh,60.563,0.00853851123353593
,Error,34915.509024301544,266.0,131.26131212143437,,,,,,,,,,task,High Difficulty,Single-Task,54.43270054924413,19.72596520940683,43.0101092524833,17.169897939522652,True,True,6.961442941510681,133.0,two-sided,1.3944424467199528e-10,4.1833273401598587e-10,fdr_bh,6.241e+07,0.08708161992660372
,,,,,,,,,,,,,,task,Low Difficulty,Single-Task,50.95475880694615,17.69641407701032,43.0101092524833,17.169897939522652,True,True,5.227337680943924,133.0,two-sided,6.493717632540886e-07,9.74057644881133e-07,fdr_bh,1.895e+04,0.04934696840516972
DDK Duration,task,30923.818181464416,2.0,15461.909090732208,36.1705634629691,1.0391638370929869e-14,4.031128980712176e-11,0.046596437740593855,0.7078250899634958,False,0.5872215972853404,6.548493505877273e-17,small,task,High Difficulty,Low Difficulty,155.786235373117,41.84679499386049,153.5302860968638,40.62323608076873,True,True,1.5105331257310946,141.0,two-sided,0.13314526149024156,0.13314526149024156,fdr_bh,0.283,0.0007475598638056128
,Error,120547.15066992119,282.0,427.47216549617445,,,,,,,,,,task,High Difficulty,Single-Task,155.786235373117,41.84679499386049,136.69042639526313,32.955002851726434,True,True,6.517329580562234,141.0,two-sided,1.1814000815467115e-09,3.5442002446401346e-09,fdr_bh,7.828e+06,0.060382272039607617
,,,,,,,,,,,,,,task,Low Difficulty,Single-Task,153.5302860968638,40.62323608076873,136.69042639526313,32.955002851726434,True,True,6.255549663956089,141.0,two-sided,4.45207946027643e-09,6.678119190414645e-09,fdr_bh,2.184e+06,0.04926580637532883
