项目名,全部样本,18 ~ 32,33 ~ 47,48 ~ 62,63 ~ 77,≥ 78,组比较,事后比较
样本数 (男/女),98 (37 / 61),34 (13 / 21),13 (4 / 9),28 (10 / 18),17 (7 / 10),6 (3 / 3),"χ2 = 0.790, p = 0.940",—
年龄 (年),47.91 ± 19.51 (22 ~ 86),25.88 ± 2.76 (22 ~ 32),41.08 ± 3.82 (35 ~ 47),55.86 ± 3.86 (48 ~ 62),71.94 ± 3.98 (65 ~ 77),82.33 ± 2.25 (80 ~ 86),"F = 752.471, p = 0.000","18 ~ 32 vs. 33 ~ 47: 0.001, 18 ~ 32 vs. 48 ~ 62: 0.001, 18 ~ 32 vs. 63 ~ 77: 0.001, 18 ~ 32 vs. ≥ 78: 0.001, 33 ~ 47 vs. 48 ~ 62: 0.001, 33 ~ 47 vs. 63 ~ 77: 0.001, 33 ~ 47 vs. ≥ 78: 0.001, 48 ~ 62 vs. 63 ~ 77: 0.001, 48 ~ 62 vs. ≥ 78: 0.001, 63 ~ 77 vs. ≥ 78: 0.001, "
教育水平 (年),14.04 ± 4.37 (8.00 ~ 23.00),18.19 ± 3.20 (9.00 ~ 23.00),13.62 ± 4.01 (9.00 ~ 22.00),11.57 ± 2.77 (9.00 ~ 16.00),11.35 ± 2.64 (8.00 ~ 16.00),10.50 ± 3.08 (8.00 ~ 16.00),"F = 24.791, p = 0.000","18 ~ 32 vs. 33 ~ 47: 0.001, 18 ~ 32 vs. 48 ~ 62: 0.001, 18 ~ 32 vs. 63 ~ 77: 0.001, 18 ~ 32 vs. ≥ 78: 0.001, 33 ~ 47 vs. 48 ~ 62: 0.294, 33 ~ 47 vs. 63 ~ 77: 0.285, 33 ~ 47 vs. ≥ 78: 0.259, 48 ~ 62 vs. 63 ~ 77: 0.900, 48 ~ 62 vs. ≥ 78: 0.900, 63 ~ 77 vs. ≥ 78: 0.900, "
MMSE (分),28.02 ± 2.01 (19.0 ~ 30.0),29.12 ± 1.25 (26.0 ~ 30.0),28.77 ± 1.17 (26.0 ~ 30.0),27.86 ± 1.53 (25.0 ~ 30.0),26.18 ± 2.77 (19.0 ~ 29.0),26.17 ± 1.47 (24.0 ~ 28.0),"F = 11.195, p = 0.000","18 ~ 32 vs. 33 ~ 47: 0.900, 18 ~ 32 vs. 48 ~ 62: 0.034, 18 ~ 32 vs. 63 ~ 77: 0.001, 18 ~ 32 vs. ≥ 78: 0.001, 33 ~ 47 vs. 48 ~ 62: 0.494, 33 ~ 47 vs. 63 ~ 77: 0.001, 33 ~ 47 vs. ≥ 78: 0.020, 48 ~ 62 vs. 63 ~ 77: 0.014, 48 ~ 62 vs. ≥ 78: 0.179, 63 ~ 77 vs. ≥ 78: 0.900, "
DST (分),14.46 ± 4.18 (4.0 ~ 28.0),18.00 ± 2.83 (16.0 ~ 20.0),17.20 ± 4.02 (14.0 ~ 28.0),14.96 ± 4.03 (8.0 ~ 25.0),12.94 ± 3.90 (4.0 ~ 20.0),10.67 ± 1.75 (9.0 ~ 14.0),"F = 3.968, p = 0.007","18 ~ 32 vs. 33 ~ 47: 0.900, 18 ~ 32 vs. 48 ~ 62: 0.791, 18 ~ 32 vs. 63 ~ 77: 0.404, 18 ~ 32 vs. ≥ 78: 0.146, 33 ~ 47 vs. 48 ~ 62: 0.511, 33 ~ 47 vs. 63 ~ 77: 0.053, 33 ~ 47 vs. ≥ 78: 0.014, 48 ~ 62 vs. 63 ~ 77: 0.433, 48 ~ 62 vs. ≥ 78: 0.106, 63 ~ 77 vs. ≥ 78: 0.697, "
IQCODE (分),3.20 ± 0.32 (2.06 ~ 4.12),3.22 ± 0.75 (2.69 ~ 3.75),3.14 ± 0.24 (2.94 ~ 3.75),3.25 ± 0.25 (3.00 ~ 3.88),3.18 ± 0.44 (2.06 ~ 4.12),3.16 ± 0.20 (3.00 ~ 3.44),"F = 0.269, p = 0.897","18 ~ 32 vs. 33 ~ 47: 0.900, 18 ~ 32 vs. 48 ~ 62: 0.900, 18 ~ 32 vs. 63 ~ 77: 0.900, 18 ~ 32 vs. ≥ 78: 0.900, 33 ~ 47 vs. 48 ~ 62: 0.900, 33 ~ 47 vs. 63 ~ 77: 0.900, 33 ~ 47 vs. ≥ 78: 0.900, 48 ~ 62 vs. 63 ~ 77: 0.900, 48 ~ 62 vs. ≥ 78: 0.900, 63 ~ 77 vs. ≥ 78: 0.900, "
