cognition,paired T-test,T,dof,tail,p-val,CI95%,cohen-d,BF10,power
MMSE,Dual-Task-Single-Task,3.4930930971012875,18,greater,0.0012981180545125366,[0.05 inf],0.9256306418200011,32.488,0.9871926929064587
DST,Dual-Task-Single-Task,1.8677497986617209,18,greater,0.039083284832010796,[0.0 inf],0.6831466058243602,2.007,0.888416117617285
IQCODE,Dual-Task-Single-Task,2.7335934012124965,18,greater,0.006820622335444705,[0.03 inf],0.7431147837443212,8.046,0.9290832526522567
